,0,1,2,3,4
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,3,0,0,0,3
6,1,0,0,0,1
7,1,0,0,0,1
8,2,0,1,0,3
9,1,0,0,0,1
10,1,0,0,0,1
11,3,0,0,0,3
12,1,0,0,0,1
13,1,0,0,0,1
14,1,0,0,0,1
15,1,0,0,0,1
16,1,0,0,0,1
17,1,0,0,0,1
18,0,0,0,0,0
19,0,0,0,0,0
20,0,0,0,0,0
21,0,0,0,0,0
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,0
27,1,0,0,0,1
28,2,0,0,0,2
29,1,0,0,0,1
30,3,0,1,0,4
31,2,0,1,0,3
32,2,0,1,0,3
33,0,0,0,0,0
34,0,0,0,0,0
35,0,0,0,0,0
36,0,0,0,0,0
37,0,0,0,0,0
38,0,0,0,0,0
39,0,0,0,0,0
40,0,0,0,0,0
41,0,0,0,0,0
42,0,0,0,0,0
43,0,0,0,0,0
44,0,0,0,0,0
45,0,0,0,0,0
46,3,0,0,0,3
47,2,0,0,0,2
48,2,0,0,0,2
49,2,0,0,0,2
50,2,0,0,0,2
51,0,0,0,0,0
52,0,0,0,0,0
53,2,0,0,0,2
54,2,0,0,0,2
55,1,0,0,0,1
56,2,0,0,0,2
57,1,0,0,0,1
58,2,0,0,0,2
59,2,0,0,0,2
60,4,0,0,0,4
61,3,0,0,0,3
62,1,0,0,0,1
63,0,0,0,0,0
64,0,0,0,0,0
65,0,0,0,0,0
66,0,0,0,0,0
67,0,0,0,0,0
68,0,0,0,0,0
69,0,0,0,0,0
70,0,0,0,0,0
71,0,0,0,0,0
72,0,0,0,0,0
73,0,0,0,0,0
74,0,0,0,0,0
75,0,0,0,0,0
76,0,0,0,0,0
77,0,0,0,0,0
78,0,0,0,0,0
79,0,0,0,0,0
80,0,0,0,0,0
81,0,0,0,0,0
82,0,0,0,0,0
83,0,0,0,0,0
84,0,0,0,0,0
85,0,0,0,0,0
86,0,0,0,0,0
87,0,0,0,0,0
88,0,0,0,0,0
89,0,0,0,0,0
90,0,0,0,0,0
91,2,0,1,0,3
92,3,0,0,0,3
93,0,0,0,0,0
94,1,0,0,0,1
95,0,0,0,0,0
96,5,0,1,0,6
97,3,0,0,0,3
98,1,0,0,0,1
99,4,0,0,0,4
100,0,0,0,0,0
101,0,0,0,0,0
102,2,0,1,0,3
103,0,0,0,0,0
104,2,0,0,0,2
105,0,0,0,0,0
106,0,0,0,0,0
107,5,0,0,0,5
108,1,0,0,0,1
109,3,0,0,0,3
110,0,0,0,0,0
111,1,0,0,0,1
112,2,0,0,0,2
113,0,0,0,0,0
114,1,0,0,0,1
115,4,0,0,0,4
116,0,0,0,0,0
117,3,0,0,0,3
118,4,0,0,0,4
119,2,0,0,0,2
120,0,0,0,0,0
121,0,0,0,0,0
122,3,0,0,0,3
123,3,0,0,0,3
124,0,0,0,0,0
125,1,0,0,0,1
126,9,0,1,2,12
127,3,0,0,0,3
128,3,0,0,0,3
129,0,0,0,0,0
130,6,0,0,0,6
131,2,0,0,0,2
132,3,0,0,0,3
133,3,0,0,0,3
134,0,0,0,0,0
135,0,0,0,0,0
136,1,0,0,0,1
137,0,0,0,0,0
138,0,0,0,0,0
139,0,0,0,0,0
140,3,0,0,0,3
141,0,0,0,0,0
142,2,0,0,0,2
143,3,0,0,0,3
144,4,0,0,1,5
145,0,0,0,0,0
146,2,0,0,0,2
147,1,0,0,0,1
148,0,0,0,0,0
149,3,0,0,0,3
150,0,0,0,0,0
151,1,0,0,0,1
152,1,0,0,0,1
153,7,0,0,0,7
154,0,0,0,0,0
155,0,0,0,0,0
156,0,0,0,0,0
157,1,0,0,0,1
158,3,0,0,0,3
159,0,0,0,0,0
160,0,0,0,0,0
161,1,0,0,0,1
162,1,0,0,0,1
163,0,0,0,0,0
164,2,0,0,0,2
165,2,0,0,0,2
166,1,0,0,0,1
167,0,0,0,0,0
168,2,0,0,0,2
169,2,0,0,0,2
170,0,0,0,0,0
171,0,0,0,0,0
172,0,0,0,0,0
173,0,0,0,0,0
174,0,0,0,0,0
175,0,0,0,0,0
176,0,0,0,0,0
177,2,0,0,0,2
178,2,0,0,0,2
179,3,0,0,0,3
180,2,0,0,0,2
181,2,0,0,0,2
182,1,0,0,0,1
183,3,0,0,0,3
184,2,0,1,0,3
185,2,0,0,0,2
186,2,0,0,0,2
187,1,0,0,0,1
188,2,0,0,0,2
189,3,0,0,0,3
190,2,0,0,0,2
191,3,0,0,0,3
192,3,0,0,0,3
193,3,0,0,0,3
194,2,1,0,0,3
195,0,0,0,0,0
196,0,0,0,0,0
197,2,0,0,0,2
198,2,0,0,0,2
199,1,0,0,0,1
200,0,0,0,0,0
201,0,0,0,0,0
202,0,0,0,0,0
203,0,0,0,0,0
204,0,0,0,0,0
205,0,0,0,0,0
206,0,0,0,0,0
207,0,0,0,0,0
208,0,0,0,0,0
209,0,0,0,0,0
210,0,0,0,0,0
211,0,0,0,0,0
212,0,0,0,0,0
213,0,0,0,0,0
214,0,0,0,0,0
215,0,0,0,0,0
216,0,0,0,0,0
217,0,0,0,0,0
218,0,0,0,0,0
219,0,0,0,0,0
220,0,0,0,0,0
221,0,0,0,0,0
222,0,0,0,0,0
223,0,0,0,0,0
224,0,0,0,0,0
225,0,0,0,0,0
226,0,0,0,0,0
227,0,0,0,0,0
228,0,0,0,0,0
229,0,0,0,0,0
230,0,0,0,0,0
231,0,0,0,0,0
232,2,0,0,0,2
233,0,0,0,0,0
234,0,0,0,0,0
235,0,0,0,0,0
236,0,0,0,0,0
237,0,0,0,0,0
238,0,0,0,0,0
239,1,0,0,0,1
240,0,0,0,0,0
241,0,0,0,0,0
242,0,0,0,0,0
243,0,0,0,0,0
244,0,0,0,0,0
245,0,0,0,0,0
246,3,0,0,0,3
247,0,0,0,0,0
248,0,0,0,0,0
249,0,0,0,0,0
250,0,0,0,0,0
251,0,0,0,0,0
252,0,0,0,0,0
253,0,0,0,0,0
254,0,0,0,0,0
255,0,0,0,0,0
256,0,0,0,0,0
257,0,0,0,0,0
258,0,0,0,0,0
259,0,0,0,0,0
260,0,0,0,0,0
261,0,0,0,0,0
262,0,0,0,0,0
263,0,0,0,0,0
264,0,0,0,0,0
265,0,0,0,0,0
266,0,0,0,0,0
267,0,0,0,0,0
268,0,0,0,0,0
269,0,0,0,0,0
270,0,0,0,0,0
271,0,0,0,0,0
272,1,0,0,0,1
273,0,0,0,0,0
274,3,0,0,0,3
275,4,0,0,1,5
276,3,0,0,0,3
277,0,0,0,0,0
278,0,0,0,0,0
279,0,0,0,0,0
280,1,0,0,0,1
281,0,0,0,0,0
282,0,0,0,0,0
283,2,0,0,0,2
284,2,0,0,0,2
285,2,0,0,0,2
286,0,0,0,0,0
287,2,0,0,0,2
288,2,0,0,0,2
289,2,0,0,0,2
290,2,0,0,0,2
291,2,0,0,0,2
292,2,0,0,0,2
293,2,0,0,0,2
294,0,0,0,0,0
295,0,0,0,0,0
296,0,0,0,0,0
297,0,0,0,0,0
298,0,0,0,0,0
299,0,0,0,0,0
300,0,0,0,0,0
301,1,0,0,0,1
302,3,0,0,0,3
303,1,0,0,0,1
304,0,0,0,0,0
305,0,0,0,0,0
306,0,0,0,0,0
307,0,0,0,0,0
308,0,0,0,0,0
309,0,0,0,0,0
310,0,0,0,0,0
311,0,0,0,0,0
312,0,0,0,0,0
313,0,0,0,0,0
314,2,0,0,0,2
315,2,0,0,0,2
316,0,0,0,0,0
317,0,0,0,0,0
318,0,0,0,0,0
319,2,0,0,0,2
320,1,0,0,0,1
321,0,0,0,0,0
322,3,0,0,0,3
323,0,0,0,0,0
324,0,0,0,0,0
325,0,0,0,0,0
326,0,0,0,0,0
327,0,0,0,0,0
328,1,0,0,0,1
329,0,0,0,0,0
330,0,0,0,0,0
331,0,0,0,0,0
332,0,0,0,0,0
333,0,0,0,0,0
334,0,0,0,0,0
335,0,0,0,0,0
336,0,0,0,0,0
337,0,0,0,0,0
338,0,0,0,0,0
339,0,0,0,0,0
340,0,0,0,0,0
341,0,0,0,0,0
342,0,0,0,0,0
343,0,0,0,0,0
344,0,0,0,0,0
345,0,0,0,0,0
346,0,0,0,0,0
347,0,0,0,0,0
348,0,0,0,0,0
349,0,0,0,0,0
350,0,0,0,0,0
351,0,0,0,0,0
352,0,0,0,0,0
353,0,0,0,0,0
354,0,0,0,0,0
355,0,0,0,0,0
356,0,0,0,0,0
357,0,0,0,0,0
358,0,0,0,0,0
359,4,0,0,0,4
360,0,0,0,0,0
361,0,0,0,0,0
362,0,0,0,0,0
363,0,0,0,0,0
364,0,0,0,0,0
365,0,0,0,0,0
366,0,0,0,0,0
367,0,0,0,0,0
368,0,0,0,0,0
369,0,0,0,0,0
370,0,0,0,0,0
371,0,0,0,0,0
372,0,0,0,0,0
373,0,0,0,0,0
374,0,0,0,0,0
375,0,0,0,0,0
376,0,0,0,0,0
377,0,0,0,0,0
378,0,0,0,0,0
379,0,0,0,0,0
380,0,0,0,0,0
