,0,1,2,3
0,2,0,0,0
1,2,0,0,0
2,2,0,0,0
3,2,0,0,0
4,2,0,0,0
5,2,0,0,0
6,2,0,0,0
7,4,0,0,0
8,2,0,0,0
9,3,0,0,0
10,1,0,0,0
11,1,0,0,0
12,3,0,0,0
13,4,0,0,0
14,3,0,0,0
15,5,0,0,0
16,2,0,0,0
17,7,0,0,0
18,2,0,0,0
19,2,0,0,0
20,2,0,0,0
21,3,0,0,0
22,2,0,0,0
23,1,0,0,0
24,2,0,0,0
25,3,0,0,0
26,2,0,0,0
27,3,0,0,0
28,2,0,0,0
29,2,0,0,0
30,2,1,0,0
31,2,1,0,0
32,2,0,0,0
33,2,0,0,0
34,3,0,0,0
35,2,0,0,0
36,2,1,0,0
37,2,0,0,0
38,2,0,0,0
39,1,0,0,0
40,2,0,0,0
41,2,0,0,0
42,3,0,1,0
43,2,0,0,0
44,2,0,0,0
45,2,0,0,0
46,2,0,0,0
47,2,0,0,0
48,1,0,0,0
49,2,0,1,0
50,3,0,0,0
51,1,0,0,0
52,1,0,1,0
53,1,0,0,0
54,2,0,0,0
55,1,0,0,0
56,2,0,0,0
57,5,0,1,0
58,1,0,0,0
59,3,0,1,0
60,1,0,0,0
61,5,0,0,0
62,1,0,0,0
63,1,0,0,0
64,2,0,0,0
65,1,0,0,0
66,4,0,0,0
67,1,0,0,0
68,3,0,0,0
69,4,0,0,0
70,1,0,0,0
71,1,0,1,0
72,1,0,1,0
73,1,0,0,0
74,1,0,1,0
75,1,0,0,0
76,1,0,0,0
77,1,0,0,0
78,1,0,0,0
79,1,0,0,0
80,1,0,0,0
81,1,0,0,0
82,1,0,0,0
83,1,0,0,0
84,3,0,1,0
85,2,0,0,0
86,4,0,1,1
87,2,0,0,0
88,1,0,0,0
89,13,0,0,1
90,1,0,0,0
91,3,0,0,0
92,1,0,0,0
93,2,0,0,0
94,3,0,0,0
95,2,0,0,0
96,3,0,0,0
97,3,0,0,0
98,2,0,0,0
99,4,0,0,0
100,1,0,0,0
101,1,0,0,0
102,2,0,0,0
103,2,0,0,0
104,2,0,0,0
105,3,0,0,0
106,1,0,0,0
107,3,0,0,0
108,2,0,0,0
109,2,0,0,0
110,2,0,0,0
111,2,0,0,0
112,3,0,0,0
113,1,0,0,0
114,3,0,0,0
115,1,0,0,0
116,2,0,0,0
117,2,0,0,0
118,2,0,0,0
119,2,0,0,0
120,2,0,0,0
121,2,0,0,0
122,2,0,0,0
123,3,0,0,0
124,2,0,0,0
125,2,0,0,0
126,1,0,0,0
127,2,0,0,0
128,2,0,0,0
129,3,0,0,0
130,1,0,0,0
131,2,0,0,0
132,1,0,0,0
133,2,0,0,0
134,2,0,0,0
135,2,0,0,0
136,1,0,0,0
137,2,0,0,0
138,2,0,0,0
139,2,0,0,0
140,2,0,0,0
141,2,0,0,0
142,2,0,0,0
143,2,0,0,0
144,2,0,0,0
145,2,0,0,0
146,2,0,0,0
147,1,0,0,0
148,2,0,0,0
149,1,0,0,0
150,2,0,0,0
151,1,0,0,0
152,1,0,0,0
153,3,0,0,0
154,3,0,0,0
155,3,0,0,0
156,5,0,0,0
157,2,0,0,0
158,1,0,0,0
159,2,0,0,0
160,2,0,0,0
161,2,0,0,0
162,3,0,0,0
163,1,0,0,0
164,3,0,0,0
165,4,0,0,0
166,1,0,0,0
167,1,0,0,0
168,6,0,0,0
169,3,0,0,0
170,3,0,0,0
171,3,0,0,0
172,3,0,0,0
173,7,0,0,0
174,2,0,0,0
175,3,0,0,0
176,5,0,0,0
177,2,0,0,0
178,2,0,0,0
179,1,0,0,0
180,5,0,0,0
181,1,0,0,0
182,2,0,0,0
183,3,0,0,0
184,1,0,0,0
185,2,0,0,0
186,1,0,0,0
187,4,0,0,0
188,2,0,0,0
189,3,0,0,0
190,2,0,0,0
191,1,0,0,0
192,7,0,0,1
193,1,0,0,0
194,3,0,0,0
195,1,0,0,0
196,3,0,0,0
197,1,0,0,0
198,1,0,0,0
199,1,0,0,0
200,5,0,0,0
201,3,0,0,0
202,11,0,0,1
203,2,0,0,0
204,2,0,0,0
205,6,0,0,0
206,2,0,0,0
207,4,0,0,0
208,4,0,0,0
209,2,0,0,0
210,4,0,0,0
211,2,0,0,0
212,2,0,0,0
213,5,0,0,0
214,2,0,0,0
215,1,0,0,0
216,2,0,0,0
217,4,0,0,0
218,2,0,0,0
219,2,0,0,0
220,2,0,0,0
221,2,0,0,0
222,2,0,0,0
223,1,0,0,0
224,2,0,0,0
225,2,0,0,0
226,5,0,0,0
227,2,0,0,0
228,1,0,0,0
229,2,0,0,0
230,2,0,0,0
231,2,0,0,0
232,2,0,0,0
233,3,0,0,0
234,2,0,0,0
235,2,0,0,0
236,2,0,0,0
237,3,0,0,0
238,2,0,0,0
239,2,0,0,0
240,2,0,0,0
241,1,0,0,0
242,2,0,0,0
243,2,0,0,0
244,2,0,0,0
245,3,0,0,0
246,2,0,0,0
247,2,0,0,0
248,2,0,0,0
249,2,0,0,0
250,1,0,0,0
251,1,0,0,0
252,2,0,0,0
253,2,0,0,0
254,4,0,0,0
255,2,0,0,0
256,6,0,0,0
257,3,0,0,0
258,2,0,0,0
259,4,0,0,0
260,1,0,0,0
261,3,0,0,0
262,1,0,0,0
263,2,0,0,0
264,2,0,0,0
265,2,0,0,0
