,0,1,2,3
0,2,0,0,1
1,1,0,0,0
2,2,0,0,0
3,1,0,0,0
4,2,0,0,0
5,2,0,0,0
6,2,0,0,0
7,2,0,0,0
8,2,0,0,0
9,2,0,0,0
10,3,0,0,0
11,1,0,0,0
12,3,0,0,0
13,4,0,0,0
14,3,1,0,1
15,3,1,0,0
16,1,0,0,0
17,1,0,0,0
18,3,0,0,0
19,1,0,0,0
20,1,0,0,0
21,1,0,0,0
22,1,0,0,0
23,2,0,0,0
24,1,0,0,0
25,3,0,0,0
26,1,0,0,0
27,4,0,0,0
28,1,0,0,0
29,3,0,0,0
30,1,0,0,0
31,1,0,0,0
32,3,0,0,0
33,1,0,0,0
34,3,0,0,0
35,1,0,0,0
36,1,0,0,0
37,1,0,0,0
38,3,0,1,0
39,3,0,0,0
40,1,0,0,0
41,13,0,0,1
42,1,0,0,0
43,1,0,0,0
44,1,0,0,0
45,1,0,0,0
46,1,0,0,0
47,1,0,0,0
48,1,0,0,0
49,1,0,0,0
50,1,0,0,0
51,3,0,1,0
52,3,0,0,0
53,1,0,0,0
54,1,0,0,0
55,3,0,0,0
56,1,0,0,0
57,1,0,0,0
58,1,0,0,0
59,1,0,0,0
60,7,0,0,1
61,1,0,0,0
62,3,0,0,0
63,1,0,0,0
64,1,0,0,0
65,3,0,2,0
66,1,0,0,0
67,3,0,0,0
68,1,0,0,0
69,1,0,0,0
70,1,0,0,0
71,1,0,0,0
72,1,0,0,0
73,1,0,0,0
74,3,0,0,0
75,3,0,1,0
76,1,0,0,0
77,1,0,0,0
78,1,0,0,0
79,1,0,0,0
80,1,0,0,0
81,1,0,0,0
82,1,0,0,0
83,1,0,0,0
84,1,0,0,0
85,1,0,0,0
86,1,0,0,0
87,1,0,0,0
88,3,0,0,0
89,2,0,0,0
90,3,0,0,0
91,2,0,0,0
92,5,0,0,0
93,1,0,0,0
94,10,0,0,0
95,2,0,0,0
96,2,0,0,0
97,6,0,0,0
98,2,0,0,0
99,2,0,0,0
100,2,0,0,0
101,2,0,1,0
102,2,0,1,0
103,1,0,0,0
104,1,0,0,0
105,2,0,0,0
106,1,0,0,0
107,2,0,1,0
108,2,0,1,0
109,1,0,0,0
110,3,0,1,0
111,2,0,1,0
112,2,0,1,0
113,2,0,0,0
114,1,0,0,0
115,2,1,0,0
116,2,1,0,0
117,2,1,0,0
118,4,0,0,0
119,3,0,0,0
120,5,0,1,0
121,1,0,0,0
122,6,0,1,0
123,2,0,1,0
124,1,0,0,0
125,1,0,0,0
126,1,0,0,0
127,5,0,0,0
128,1,0,0,0
129,3,0,0,0
130,1,0,0,0
131,1,0,0,0
132,1,1,0,0
133,7,1,1,0
134,2,0,0,0
135,1,0,0,0
136,19,1,1,0
137,10,0,1,1
138,1,0,0,0
139,1,0,0,0
140,2,0,0,0
141,6,0,0,0
142,1,0,0,0
143,7,0,1,1
144,1,1,0,0
145,2,0,0,0
146,2,0,0,0
147,3,0,0,0
148,2,0,0,0
149,1,0,0,0
150,2,0,0,0
151,2,0,0,0
152,14,1,1,0
153,1,0,0,0
154,1,0,0,0
155,1,0,0,0
156,2,0,0,0
157,3,0,0,0
158,1,0,0,0
159,4,1,0,0
160,1,0,0,0
161,1,0,0,0
162,7,0,0,0
163,5,1,0,0
164,3,1,0,0
165,3,0,0,0
166,2,0,0,0
167,2,0,0,0
168,3,0,0,0
169,2,0,0,0
170,2,0,0,0
171,2,0,0,0
172,2,0,0,0
173,1,0,0,0
174,1,0,0,0
175,4,0,0,0
176,2,0,0,0
177,2,0,0,0
178,4,0,0,0
179,1,0,0,0
180,1,0,0,0
181,1,0,0,0
182,6,0,0,0
183,3,0,0,0
184,2,0,0,0
185,2,0,0,0
186,2,0,0,0
187,2,0,0,0
188,10,0,0,0
189,2,0,0,0
190,1,0,0,0
191,2,0,0,0
192,3,0,0,0
193,2,0,0,0
194,15,0,1,1
195,3,0,0,0
196,2,0,0,0
197,2,0,0,0
198,2,0,0,0
199,9,0,1,1
200,2,0,0,0
201,2,0,0,0
202,1,0,0,0
203,2,0,0,0
204,2,0,0,0
205,2,0,0,0
206,2,0,0,0
207,2,0,0,0
208,2,0,0,0
209,1,0,0,0
210,2,0,0,0
211,3,0,0,0
212,2,0,0,0
213,2,0,0,0
214,0,1,0,0
215,5,1,0,0
216,2,0,0,0
217,4,0,0,0
218,3,0,0,0
219,1,0,0,0
220,3,0,0,0
221,3,0,0,0
222,1,0,0,0
223,2,0,0,0
224,1,0,0,0
225,2,0,0,0
226,2,0,0,0
227,2,0,0,0
228,3,0,0,0
229,2,0,0,0
230,1,0,0,0
231,3,0,0,0
232,3,0,0,0
233,2,0,0,0
234,2,0,0,0
235,2,0,1,0
236,2,0,0,0
237,7,0,1,0
238,2,0,0,0
239,8,0,0,1
240,1,0,0,0
241,5,0,0,0
242,3,0,0,0
243,1,0,0,0
244,1,0,0,0
245,4,0,0,0
246,3,0,0,0
247,1,0,0,0
248,1,0,0,0
249,1,0,0,0
250,2,0,0,0
251,3,0,0,0
252,1,0,0,0
253,3,0,0,0
254,1,0,0,0
255,1,0,0,0
256,4,0,0,0
257,3,0,0,0
258,1,0,0,0
259,3,0,0,0
260,1,0,0,0
261,3,0,0,0
262,3,0,0,0
263,1,0,0,0
264,10,0,0,1
265,1,0,0,0
266,4,0,1,0
267,1,0,0,0
268,6,0,0,0
269,1,0,0,0
270,3,0,0,0
271,3,0,0,0
272,1,0,0,0
273,1,0,0,0
274,1,0,0,0
275,1,0,0,0
276,1,0,0,0
277,3,0,0,0
278,2,0,0,0
279,2,0,0,0
280,3,0,0,0
281,1,0,0,0
282,8,0,2,0
283,2,0,0,0
284,3,0,0,0
285,2,0,0,0
286,3,0,0,0
287,1,0,0,0
288,2,0,0,0
289,3,0,0,0
290,4,0,0,0
291,1,0,0,0
292,1,0,0,0
293,4,0,0,0
294,2,0,0,0
295,3,0,0,0
296,4,0,0,0
297,2,0,0,0
298,1,0,0,0
299,2,0,0,0
300,9,0,0,0
301,1,0,0,0
302,2,0,0,0
303,9,0,2,0
304,1,0,0,0
305,1,0,0,0
306,5,0,1,0
307,1,0,0,0
308,2,0,0,0
309,4,0,0,0
310,2,0,0,0
311,3,0,0,0
312,1,0,0,0
313,1,0,0,0
314,4,0,0,0
315,2,0,0,0
316,3,0,0,0
317,1,0,0,0
318,9,0,1,0
319,2,0,0,0
320,2,0,0,0
321,2,0,0,0
322,1,0,0,0
323,3,0,0,0
324,1,0,0,0
325,1,0,0,0
326,1,0,0,0
327,3,0,0,0
328,1,0,0,0
329,1,0,0,0
330,1,0,0,0
331,1,0,0,0
332,3,0,0,0
333,1,0,0,0
334,1,0,0,0
335,1,0,0,0
336,2,0,0,0
337,2,0,0,0
338,1,0,0,0
339,1,0,0,0
340,1,0,0,0
341,3,0,0,0
342,1,0,0,0
343,5,0,2,0
344,2,1,0,0
345,3,0,0,0
346,4,0,0,0
347,1,0,0,0
348,2,0,0,0
349,2,0,0,0
350,3,1,0,0
351,5,0,0,0
352,5,0,0,0
353,1,0,0,0
354,3,0,0,0
355,3,0,0,0
356,1,0,0,0
357,5,0,1,0
358,9,1,1,0
359,3,0,0,0
360,2,0,0,0
361,1,0,0,0
362,1,0,0,0
363,4,0,0,0
364,3,0,1,0
365,3,0,0,0
366,4,0,0,0
367,3,0,0,0
368,3,0,0,0
369,1,0,0,0
370,3,0,0,0
371,3,0,0,0
372,2,0,0,0
373,3,0,0,0
374,1,0,0,0
375,1,0,0,0
376,4,0,1,0
377,1,0,0,0
378,9,0,1,2
379,3,0,0,0
380,3,0,0,0
381,4,0,0,0
382,3,0,0,0
383,18,0,2,1
384,2,0,0,0
385,4,0,0,0
386,3,0,0,0
387,3,0,0,0
388,1,0,0,0
389,1,0,0,0
390,3,0,0,0
391,3,0,0,0
392,1,0,0,0
393,2,0,0,0
394,1,0,0,0
395,1,0,0,0
396,3,0,0,0
397,2,0,0,0
398,3,0,0,0
399,1,0,0,0
400,6,0,1,0
401,2,0,0,0
402,2,0,0,0
403,3,0,0,0
404,4,0,0,1
405,1,0,0,0
406,23,0,1,1
407,1,0,0,0
408,3,0,0,0
409,3,0,0,0
410,5,0,0,0
411,1,0,0,0
412,1,0,0,0
413,1,0,0,0
414,1,0,0,0
415,7,0,0,0
416,3,0,0,0
417,3,0,0,0
418,1,0,0,0
419,2,0,0,0
420,1,0,0,0
421,1,0,0,0
422,3,0,0,0
423,3,0,0,0
424,1,0,0,0
425,3,0,0,0
426,1,0,0,0
427,1,0,0,0
428,1,0,0,0
429,1,0,0,0
430,3,0,1,0
431,10,0,2,1
432,2,0,0,0
433,1,0,0,0
434,3,1,0,0
435,2,0,0,0
436,7,0,0,2
437,2,0,0,0
438,2,0,0,0
439,2,0,0,0
440,6,0,0,1
441,1,0,0,0
442,1,0,0,0
443,2,0,0,0
444,2,0,0,0
445,1,0,0,0
446,2,0,0,0
447,2,0,0,0
448,2,0,0,0
449,2,0,0,0
450,2,0,0,0
451,2,1,0,0
452,2,0,0,0
453,2,0,0,0
454,2,0,0,0
455,1,0,0,0
456,2,0,0,0
457,2,0,0,0
458,2,0,0,0
459,2,0,0,0
460,9,1,0,1
461,1,0,0,0
462,1,0,0,0
463,1,0,0,0
464,1,0,0,0
465,1,0,0,0
466,1,0,0,0
467,1,0,0,0
468,1,0,0,0
469,2,0,0,0
470,1,0,0,0
471,1,0,0,0
472,2,0,0,0
473,2,0,0,0
474,1,0,0,0
475,2,0,0,0
476,1,0,0,0
477,2,0,0,0
478,2,0,0,0
479,2,0,0,0
480,2,0,0,0
481,2,0,0,0
482,2,0,0,0
483,2,0,0,0
484,2,0,0,0
485,2,0,0,0
486,2,0,0,0
487,2,0,0,0
488,2,0,0,0
489,3,0,0,0
490,1,0,0,0
491,2,0,0,0
492,2,0,0,0
493,5,0,1,0
494,2,0,0,0
495,6,0,1,1
496,2,0,0,0
497,3,0,0,0
498,5,0,0,0
499,2,0,0,0
500,5,0,0,0
501,2,0,0,0
502,3,0,0,0
503,7,0,1,0
504,3,0,0,0
505,3,0,0,0
506,1,0,0,0
507,1,0,0,0
508,2,0,2,0
509,2,0,2,0
510,2,0,0,0
511,8,0,2,1
512,2,0,0,0
513,2,0,0,0
514,3,0,0,0
515,2,0,0,0
516,2,0,0,0
517,1,0,0,0
518,3,0,0,0
519,2,0,1,0
520,2,0,0,0
521,2,0,0,0
522,1,0,0,0
523,2,0,0,0
524,3,0,0,0
525,2,0,0,0
526,3,0,0,0
527,3,0,0,0
528,3,0,0,0
529,2,0,0,0
530,2,1,0,0
531,3,0,0,0
532,3,0,0,0
533,2,0,0,0
534,3,0,0,0
535,2,0,0,0
536,2,0,0,0
537,2,0,0,0
538,3,0,0,0
539,3,0,0,0
540,2,0,0,0
541,4,1,0,0
542,2,0,0,0
543,2,0,0,0
544,3,0,0,0
545,1,0,0,0
546,5,1,0,0
547,3,0,0,0
548,2,0,0,0
549,3,0,0,0
550,3,0,0,0
551,2,0,0,0
552,2,0,0,0
553,2,1,0,0
554,1,0,0,0
555,4,0,0,0
556,3,0,0,0
557,3,0,0,0
558,2,0,0,0
559,1,0,0,0
560,4,0,0,0
561,4,0,0,0
562,2,0,0,0
563,3,0,0,0
564,2,0,0,0
565,2,0,0,0
566,1,0,0,0
567,3,0,0,0
568,1,0,0,0
569,1,0,0,0
570,3,0,0,0
571,1,0,0,0
572,1,0,0,0
573,1,0,0,0
574,1,0,0,0
575,1,0,0,0
576,1,0,0,0
577,1,0,0,0
578,1,0,0,0
579,3,0,0,0
580,1,0,0,0
581,1,0,0,0
582,5,1,0,0
583,1,0,0,0
584,3,0,0,0
585,1,0,1,1
586,2,0,0,0
587,4,0,0,0
588,2,0,0,0
589,1,0,0,0
590,7,0,0,1
591,1,0,0,0
592,1,0,0,0
593,1,0,0,0
594,3,0,0,0
595,2,0,0,0
596,2,0,0,0
597,2,0,0,0
598,2,0,0,0
599,2,0,0,0
600,2,0,0,0
601,1,0,0,0
602,1,0,0,0
603,1,0,0,0
604,1,0,0,0
605,1,0,0,0
606,1,0,0,0
607,1,0,0,0
608,1,0,0,0
609,1,0,0,0
610,1,0,0,0
611,1,0,0,0
612,1,0,0,0
613,1,0,0,0
614,3,0,0,0
615,1,0,0,0
616,2,1,0,0
617,1,0,0,0
618,1,0,0,0
619,1,0,0,0
620,2,0,0,0
621,2,0,0,0
622,2,0,0,0
623,2,0,0,0
624,2,0,0,0
625,5,0,0,0
626,3,0,0,0
627,3,0,0,0
628,5,0,0,0
629,1,0,0,0
630,3,0,0,0
631,2,0,0,0
632,2,0,0,0
633,1,0,0,0
634,5,0,0,0
635,2,0,0,0
636,3,0,0,0
637,3,0,0,0
638,3,0,0,0
639,2,0,0,0
640,3,0,0,0
641,6,0,1,0
642,1,0,0,0
643,1,0,0,0
644,1,0,0,0
645,2,0,0,0
646,3,0,0,0
647,3,0,0,0
648,3,0,0,0
649,2,0,0,0
650,2,0,0,0
651,2,0,0,0
652,2,0,0,0
653,1,0,0,0
654,2,0,0,0
655,3,0,0,0
656,3,0,0,0
657,2,0,0,0
658,2,0,0,0
659,4,0,0,0
660,4,0,0,0
661,3,0,0,0
662,5,0,0,0
663,3,0,0,0
664,7,0,0,0
665,3,0,0,0
666,2,0,0,0
667,3,0,0,0
668,2,0,0,0
669,2,0,0,0
670,3,0,0,0
671,3,0,0,0
672,3,0,0,0
673,2,0,0,0
674,3,0,0,0
675,5,0,0,0
676,8,0,0,0
677,1,0,0,0
678,2,0,0,0
679,5,0,0,0
680,2,0,0,0
681,2,0,0,0
682,3,0,0,0
683,7,0,0,0
684,1,0,0,0
685,2,0,0,0
686,3,0,0,0
687,1,0,0,0
688,1,0,0,0
689,2,0,0,0
690,3,0,0,0
691,2,0,0,0
692,3,0,0,0
693,5,0,0,0
694,4,0,0,0
695,3,0,0,0
696,1,0,0,0
697,2,0,0,0
698,3,0,0,0
699,1,0,0,0
700,2,0,0,0
701,3,0,0,0
702,3,0,0,0
703,2,0,0,0
704,1,0,0,0
705,1,0,0,0
706,1,0,0,0
707,2,0,0,0
708,1,0,0,0
709,2,0,0,0
710,1,0,0,0
711,2,0,0,0
712,9,0,0,0
713,1,0,0,0
714,1,0,0,0
715,4,0,0,0
716,2,0,0,0
717,2,0,0,0
718,2,0,0,0
719,3,0,0,0
720,1,0,0,0
721,1,0,0,0
722,4,0,0,0
723,2,0,0,0
724,2,0,0,0
725,2,0,0,0
726,2,0,0,0
727,1,0,0,0
728,2,0,0,0
729,4,0,0,0
730,2,0,0,0
731,4,0,0,0
732,1,0,0,0
733,2,0,0,0
734,4,0,0,0
735,2,0,0,0
736,4,1,1,0
737,3,0,0,0
738,2,0,0,0
739,2,0,0,0
740,4,0,0,0
741,2,0,0,0
742,1,0,0,0
743,6,0,0,0
744,2,0,0,0
