,0,1,2,3,4
0,2,0,0,0,2
1,2,0,0,0,2
2,2,0,0,0,2
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0,0,0,0
9,0,0,0,0,0
10,2,0,0,0,2
11,2,0,0,0,2
12,2,0,0,0,2
13,3,0,0,0,3
14,0,0,0,0,0
15,2,0,0,0,2
16,0,0,0,0,0
17,0,0,0,0,0
18,0,0,0,0,0
19,0,0,0,0,0
20,2,1,0,0,3
21,3,0,0,0,3
22,2,0,0,0,2
23,2,0,0,0,2
24,2,1,0,0,3
25,0,0,0,0,0
26,0,0,0,0,0
27,0,0,0,0,0
28,2,1,0,0,3
29,2,0,0,0,2
30,2,0,0,0,2
31,0,0,0,0,0
32,0,0,0,0,0
33,0,0,0,0,0
34,0,0,0,0,0
35,3,1,0,0,4
36,0,0,0,0,0
37,0,0,0,0,0
38,0,0,0,0,0
39,0,0,0,0,0
40,0,0,0,0,0
41,0,0,0,0,0
42,2,0,0,0,2
43,1,0,0,0,1
44,1,0,0,0,1
45,3,0,0,0,3
46,1,0,0,0,1
47,2,0,0,0,2
48,2,0,0,0,2
49,3,0,0,0,3
50,2,0,0,0,2
51,1,0,0,0,1
52,2,0,0,0,2
53,2,0,0,0,2
54,0,0,0,0,0
55,0,0,0,0,0
56,1,0,0,0,1
57,1,0,0,0,1
58,1,0,0,0,1
59,2,0,0,0,2
60,3,0,0,0,3
61,3,0,0,0,3
62,4,0,0,0,4
63,3,0,0,0,3
64,0,0,0,0,0
65,0,0,0,0,0
66,0,0,0,0,0
67,0,0,0,0,0
68,0,0,0,0,0
69,0,0,0,0,0
70,0,0,0,0,0
71,0,0,0,0,0
72,0,0,0,0,0
73,0,0,0,0,0
74,0,0,0,0,0
75,0,0,0,0,0
76,0,0,0,0,0
77,0,0,0,0,0
78,0,0,0,0,0
79,0,0,0,0,0
80,0,0,0,0,0
81,0,0,0,0,0
82,0,0,0,0,0
83,0,0,0,0,0
84,1,0,0,0,1
85,0,0,0,0,0
86,0,0,0,0,0
87,0,0,0,0,0
88,0,0,0,0,0
89,0,0,0,0,0
90,0,0,0,0,0
91,0,0,0,0,0
92,0,0,0,0,0
93,0,0,0,0,0
94,0,0,0,0,0
95,0,0,0,0,0
96,0,0,0,0,0
97,0,0,0,0,0
98,0,0,0,0,0
99,0,0,0,0,0
100,0,0,0,0,0
101,0,0,0,0,0
102,0,0,0,0,0
103,0,0,0,0,0
104,0,0,0,0,0
105,3,1,0,0,4
106,0,0,0,0,0
107,0,0,0,0,0
108,0,0,0,0,0
109,0,0,0,0,0
110,0,0,0,0,0
111,0,0,0,0,0
112,3,0,0,0,3
113,0,0,0,0,0
114,0,0,0,0,0
115,0,0,0,0,0
116,0,0,0,0,0
117,0,0,0,0,0
118,0,0,0,0,0
119,0,0,0,0,0
120,0,0,0,0,0
121,0,0,0,0,0
122,0,0,0,0,0
123,0,0,0,0,0
124,0,0,0,0,0
125,0,0,0,0,0
126,0,0,0,0,0
127,0,0,0,0,0
128,0,0,0,0,0
129,4,0,1,1,6
130,3,0,0,0,3
131,3,0,1,0,4
132,1,1,0,0,2
133,2,0,1,0,3
134,4,0,1,0,5
135,4,1,1,0,6
136,3,0,1,0,4
137,0,0,0,0,0
138,0,0,0,0,0
139,3,1,1,0,5
140,0,0,0,0,0
141,1,0,0,0,1
142,0,0,0,0,0
143,3,0,0,0,3
144,3,1,1,0,5
145,2,0,0,0,2
146,2,0,0,0,2
147,4,0,0,0,4
148,2,0,0,0,2
149,2,0,0,0,2
150,0,0,0,0,0
151,2,0,0,0,2
152,0,0,0,0,0
153,0,0,0,0,0
154,4,0,0,0,4
155,0,0,0,0,0
156,0,0,0,0,0
157,0,0,0,0,0
158,0,0,0,0,0
159,3,0,0,0,3
160,1,0,0,0,1
161,2,0,0,0,2
162,0,0,0,0,0
163,1,0,0,0,1
164,0,0,0,0,0
165,0,0,0,0,0
166,2,0,0,0,2
167,1,0,0,0,1
168,0,0,0,0,0
169,2,0,0,0,2
170,2,0,0,0,2
171,4,0,0,0,4
172,2,0,0,0,2
173,2,0,0,0,2
174,2,0,0,0,2
175,1,0,0,0,1
176,0,0,0,0,0
177,2,0,0,0,2
178,2,0,0,0,2
179,2,0,0,0,2
180,0,0,0,0,0
181,0,0,0,0,0
182,0,0,0,0,0
183,1,0,0,0,1
184,2,0,0,0,2
185,4,0,0,0,4
186,2,0,0,0,2
187,7,1,0,1,9
188,2,0,0,0,2
189,2,0,0,0,2
190,1,0,0,0,1
191,3,0,0,0,3
192,3,0,0,0,3
193,2,0,0,0,2
194,2,0,0,0,2
