,0,1
0,10009233,320896726
1,100198255,209277372
2,100198255,371505655
3,100212013,57799007
4,100233331,396825443
5,100260715,195684081
6,10038384,60203680
7,100397503,181445753
8,100397503,228031766
9,100397503,297339271
10,100422676,396105426
11,100442521,125212556
12,100442521,234530675
13,100442521,244784735
14,100442521,340175205
15,100442521,362002225
16,100442521,87030081
17,100459579,30253406
18,100492933,345855321
19,100572118,203983221
20,100572118,231023770
21,100572118,288185494
22,100572118,53207020
23,100586848,135331471
24,100586848,346307693
25,100656775,174602992
26,100692286,219190080
27,100692286,26410541
28,100692286,7391236
29,100696675,142001204
30,100714423,360616856
31,100743346,276125488
32,100743346,309542971
33,100743346,327396158
34,100743346,369950042
35,100743346,54558669
36,100743346,61616002
37,100764094,13293438
38,100764094,159381371
39,100764094,177382218
40,100764094,86888170
41,100764607,377529858
42,100775470,293250636
43,100817833,303238670
44,100925722,366882456
45,101033902,173739868
46,101208550,198754761
47,101208550,2943588
48,101208550,295687356
49,101208550,314268108
50,101208550,395581183
51,101239126,337450623
52,101245648,54995808
53,101260069,211562602
54,101260069,396639276
55,101268049,277762608
56,1012927,368173674
57,101348488,175705650
58,101348488,359564973
59,101359807,251429675
60,101376337,372517890
61,101400493,103673375
62,101454268,201104559
63,101456947,39290770
64,101456947,96791663
65,101465416,219296991
66,101471368,23018019
67,101490976,190861396
68,101490976,208991770
69,101490976,386649463
70,101505955,161441883
71,101505955,240559277
72,101552272,309673397
73,101577352,263646835
74,101577352,375898831
75,101634592,144114839
76,101634592,154505873
77,101634592,81319656
78,101680957,195241988
79,101680957,344386368
80,101680957,353181987
81,101680957,89150376
82,101680957,89635354
83,101823100,111335331
84,101823100,337760373
85,101845264,294700369
86,101847145,123380513
87,101847145,267737871
88,101847145,354772798
89,101878519,245881056
90,101970481,129153484
91,101982646,141924688
92,101982646,29517
93,101982646,55600198
94,102009397,217501029
95,102009397,357049176
96,102009397,67332719
97,102030700,372318596
98,102094417,282507943
99,102115747,182382838
100,102170866,187234778
101,102184399,238943052
102,102184399,304221368
103,102208873,124163511
104,102208873,69281737
105,102213124,268099848
106,102319888,133895364
107,10238478,333849847
108,102415156,157132568
109,102443461,277017266
110,102466261,276802900
111,102506116,92053992
112,102616570,15854273
113,102616570,229642435
114,102616570,235492929
115,102616570,250522432
116,102616570,266917495
117,102616570,306374432
118,102616570,374027379
119,102616570,400096301
120,102616570,46309151
121,102616570,48885567
122,102616570,86980283
123,102638278,294806622
124,102650143,166673990
125,102650143,192191023
126,102676297,272482949
127,102676297,291686914
128,102721486,348461700
129,102730126,236845743
130,102738961,349282124
131,102746167,241955097
132,102777769,147308441
133,102780538,206100305
134,102784585,21000926
135,102831484,134674087
136,103044784,298653441
137,103047301,206570619
138,103047301,265009991
139,103047301,382059176
140,103052788,52852766
141,1031395,241300951
142,103147567,179136624
143,103147567,291601993
144,10315164,52728742
145,103215328,128704254
146,103215328,280387526
147,103215328,327185356
148,103215328,35479575
149,103215328,376233823
150,103215328,75150043
151,103304407,198039972
152,103316629,368136489
153,103343899,255729906
154,103351351,113312047
155,103351351,206252179
156,103391650,326278995
157,103391650,82028347
158,10345350,103412949
159,10345350,115935572
160,10345350,176202352
161,10345350,184770486
162,10345350,199382805
163,10345350,21136270
164,10345350,218454488
165,10345350,228284586
166,10345350,235890007
167,10345350,241606129
168,10345350,248323241
169,10345350,257455783
170,10345350,262853409
171,10345350,288295379
172,10345350,300013154
173,10345350,308109146
174,10345350,310670426
175,10345350,340261023
176,10345350,359467944
177,10345350,379122730
178,10345350,385254588
179,10345350,396227214
180,10345350,66712386
181,10345350,7275644
182,103458124,325273975
183,103459768,237669349
184,103475851,292026079
185,103475851,35971300
186,103475851,43357570
187,103485109,122165458
188,103485109,126473685
189,103485109,194561492
190,103485109,301336604
191,103490614,122771636
192,103490614,6428045
193,103507702,145605280
194,103507702,21026713
195,103507702,211724594
196,103507702,236686096
197,103507702,290318574
198,103507702,378303251
199,103507702,61799175
200,103507702,71020438
201,103546339,338954053
202,103600282,246671649
203,103628659,151309415
204,103628659,239455145
205,103628659,285618694
206,103628659,404374538
207,103628659,68287789
208,10364103,235644552
209,103698973,98721872
210,103713976,199965910
211,103713976,27064381
212,103713976,321369800
213,103713976,389552880
214,103750921,101140330
215,103750921,134717739
216,103750921,176556528
217,103751368,105156296
218,103794013,323744975
219,103809220,244282086
220,103809220,25595659
221,103809220,388847121
222,103809220,826037
223,103823974,138254604
224,103823974,160478468
225,103823974,228447942
226,103823974,244915194
227,103869346,294918058
228,103869346,54995808
229,103944151,244169701
230,103950217,379914713
231,103950217,60060154
232,103954435,118385858
233,103971193,18610877
234,103983985,363259131
235,103989685,307259975
236,103995979,194013667
237,104009491,233928794
238,104009491,38510766
239,104009491,50050572
240,104033521,126758786
241,104033521,302613276
242,104042599,324883433
243,104042599,55579785
244,104062273,300538440
245,104062273,401121823
246,104068372,266754757
247,104088598,216049131
248,104121736,265925633
249,104121736,281309210
250,104127037,38975624
251,104172442,350704147
252,104244022,166100830
253,104244022,229407585
254,104244022,8780429
255,104248411,191065007
256,104248411,291259087
257,104256814,362840568
258,104308549,166066108
259,104308549,237751790
260,104308549,245368175
261,104308549,267882120
262,104308549,29398219
263,104308549,304389555
264,104308549,316390354
265,104308549,329687549
266,104328850,255567718
267,104428489,28185424
268,104428489,393878652
269,104448961,156177449
270,104473438,24628148
271,104473438,346263750
272,104473438,354705609
273,104492647,230175498
274,1045669,303055990
275,104575660,376787526
276,104575660,394997124
277,104575660,82768193
278,104575660,86190878
279,104575660,94213094
280,10458816,331033964
281,104644609,175963265
282,104702770,269009102
283,104900356,34630016
284,104900356,38139146
285,10492218,325169472
286,104990668,263626271
287,104998078,377466092
288,104998078,390065600
289,105001355,183993477
290,105001355,361687459
291,105026093,243692490
292,105056222,214161669
293,105058502,360692409
294,105064625,370343262
295,105081725,121595229
296,105110489,216863130
297,105110489,55025517
298,105130391,274621847
299,105294335,313046477
300,105294335,85312977
301,10531113,388233376
302,105315608,145242115
303,105315608,31073638
304,105315608,332141928
305,105315608,386436338
306,105332594,264136393
307,105332594,324075082
308,105360272,221655788
309,105360272,270739994
310,105374945,154348166
311,105374945,253478204
312,105382949,99994695
313,105399227,353486336
314,105410696,144697349
315,105425264,23835044
316,105425264,297995195
317,105503993,347023852
318,105611882,29247454
319,105611882,64426634
320,105642857,276074697
321,105642857,79716828
322,105688058,299199364
323,105744281,387407887
324,105792755,382358582
325,105813059,24679468
326,105813059,322048709
327,105813059,361598801
328,105813059,39345008
329,10587225,126062390
330,10587225,361238403
331,105902537,390464450
332,105915053,120753055
333,10591638,297897393
334,105961475,116264590
335,105961475,304105338
336,105961475,322003517
337,106003787,254296879
338,106035056,305490281
339,106035056,345559245
340,106107035,82365604
341,106117718,104247659
342,106157618,161651124
343,106159385,13371324
344,106160216,105788177
345,106160216,372687991
346,106176029,369195993
347,106206683,217514104
348,106206683,9049701
349,106240256,187422251
350,106240256,278758337
351,106240256,387761794
352,106290839,30872131
353,106303595,105247979
354,106307357,229298037
355,106324856,332692612
356,10634751,107142845
357,10634751,195337143
358,10634751,238997894
359,106361003,151281121
360,106361003,153647032
361,106417583,174161612
362,106417583,39127850
363,106466123,70130984
364,106467197,214645521
365,106470137,133153045
366,106508543,240919466
367,106531367,331684471
368,106531367,349790422
369,106531367,402767042
370,106533248,305628633
371,106574411,45524623
372,106577765,126503710
373,106577765,166210037
374,106577765,328440196
375,106577765,362258151
376,106579874,173558663
377,106579874,183948499
378,106579874,280586198
379,106579874,57834871
380,10659204,226044505
381,106594637,36384642
382,106669799,352862259
383,106751135,11196173
384,106751135,18369949
385,106751135,185961298
386,106765238,6868222
387,106778951,116609901
388,106778951,256506746
389,106778951,389129871
390,106778951,54375951
391,106812308,10368770
392,106903553,402158553
393,10691352,127127987
394,106925888,48461181
395,106947215,103759420
396,106947215,121398582
397,106947215,198793263
398,106947215,222229087
399,106947215,272833643
400,106947215,296325559
401,106947215,312695146
402,106947215,352499302
403,106947215,401007692
404,10695114,102660835
405,106957727,267136374
406,106960781,161677901
407,106991984,150124229
408,107063684,189486675
409,107063684,27064361
410,107063684,95883225
411,107086484,289903280
412,107086484,355477072
413,107086655,263275168
414,107086655,354655264
415,107098478,112905178
416,107098478,399404377
417,107100014,354111710
418,10710516,377522804
419,107214401,329979495
420,107264414,27096722
421,107266523,71757076
422,107287271,231200593
423,107397611,280859106
424,107397611,375443673
425,107397611,82841230
426,107398628,185101140
427,107398628,47134694
428,107447408,179363807
429,107447408,24002445
430,107447693,113721742
431,107447693,221843667
432,107525567,156166704
433,10752753,50958955
434,107574791,360548069
435,107574791,69824780
436,10762695,331002862
437,10763160,207975687
438,107635736,222658875
439,107688950,164541904
440,107688950,67497453
441,107713439,196046053
442,107713439,283263729
443,107713439,315334265
444,107713439,320041473
445,107746979,190965319
446,10779372,250320161
447,107818388,245079455
448,107818388,275211847
449,107902802,127132351
450,107902802,243170699
451,107902802,327186410
452,107928728,24363677
453,107928728,7802433
454,107964866,9305023
455,108019238,255567866
456,108032747,398741679
457,108034286,195993872
458,108034286,338663094
459,108049880,103457961
460,108049880,105794710
461,108049880,115385611
462,108049880,145535535
463,108049880,179870539
464,108049880,192651385
465,108049880,239997527
466,108049880,246632065
467,108049880,247906664
468,108049880,264794357
469,108049880,298359190
470,108049880,298649846
471,108049880,331412845
472,108049880,33997152
473,108049880,379495252
474,108049880,380118832
475,108049880,391626438
476,108049880,44633342
477,108049880,73862910
478,108049880,87332116
479,108059195,296813335
480,108083681,295389602
481,108142517,34685617
482,108142517,389431280
483,108142574,161982397
484,108155660,149577894
485,108155660,178471893
486,108155660,179565189
487,108155660,182770552
488,108155660,33185286
489,108155660,74109255
490,108155660,93107433
491,108163037,226964981
492,108163037,388886921
493,108163094,178419246
494,108163094,368855087
495,108191114,243504133
496,108275372,287788247
497,108281438,79049216
498,108296861,248819595
499,108308639,307792517
500,108317336,28177604
501,108318200,73706845
502,108328940,104230362
503,108328940,226776244
504,108328940,323777789
505,108346829,148322925
506,108346829,381448208
507,108351764,94373497
508,108395084,286236683
