,0,1,2,3
0,2,0,0,0
1,3,0,0,0
2,2,0,0,0
3,3,0,1,0
4,2,0,0,0
5,1,0,0,0
6,1,0,0,0
7,1,0,0,0
8,3,0,1,0
9,1,0,0,0
10,1,0,0,0
11,1,0,0,0
12,2,0,0,0
13,4,0,0,0
14,1,0,0,0
15,4,0,0,0
16,1,0,0,0
17,1,0,1,0
18,1,0,0,0
19,1,0,1,0
20,1,0,0,0
21,1,0,0,0
22,1,0,0,0
23,1,0,0,0
24,1,0,0,0
25,3,0,0,0
26,3,0,0,0
27,2,0,0,0
28,3,0,0,0
29,3,0,0,0
30,2,0,0,0
31,2,0,0,0
32,2,0,0,0
33,3,0,0,0
34,3,0,0,0
35,1,0,0,0
36,2,0,0,0
37,2,0,0,0
38,2,0,0,0
39,2,0,0,0
40,3,0,0,0
41,2,0,0,0
42,2,0,0,0
43,1,0,0,0
44,2,0,0,0
45,5,0,0,0
46,3,0,0,0
47,2,0,0,0
48,2,0,0,0
49,3,0,0,0
50,7,0,0,1
51,3,0,0,0
52,1,0,0,0
53,3,0,0,0
54,1,0,0,0
55,1,0,0,0
56,1,0,0,0
57,3,0,0,0
58,2,0,0,0
59,2,0,0,0
60,2,0,0,0
61,2,0,0,0
62,4,0,0,0
63,2,0,0,0
64,4,0,0,0
65,5,0,0,0
66,2,0,0,0
67,1,0,0,0
68,2,0,0,0
69,2,0,0,0
70,1,0,0,0
71,2,0,0,0
72,2,0,0,0
73,2,0,0,0
74,1,0,0,0
75,2,0,0,0
76,2,0,0,0
77,2,0,0,0
78,3,0,0,0
79,2,0,0,0
80,2,0,0,0
81,2,0,0,0
82,2,0,0,0
83,2,0,0,0
84,2,0,0,0
85,2,0,0,0
86,2,0,0,0
87,2,0,0,0
88,2,0,0,0
89,1,0,0,0
90,1,0,0,0
91,2,0,0,0
92,2,0,0,0
93,2,0,0,0
94,2,0,0,0
95,3,0,0,0
96,2,0,0,0
97,2,0,0,0
98,2,0,0,0
99,2,0,0,0
100,1,0,0,0
101,1,0,0,0
102,3,0,0,0
103,2,0,0,0
104,2,0,0,0
105,4,0,0,0
106,2,0,0,0
107,1,0,0,0
108,1,0,0,0
109,1,0,0,0
110,1,0,0,0
111,1,0,0,0
112,1,0,1,0
113,2,0,0,0
114,1,0,0,0
115,3,0,0,0
116,2,0,1,0
117,3,0,0,0
118,3,0,0,0
119,3,0,0,0
120,2,0,0,0
121,8,1,1,0
122,4,0,0,0
123,3,0,0,0
124,1,0,0,0
125,4,0,1,1
126,8,1,1,0
127,1,0,0,0
128,5,0,0,0
129,2,1,0,0
130,1,0,0,0
131,4,0,0,0
132,5,1,0,0
133,2,0,0,0
134,2,1,0,0
135,1,0,0,0
136,2,1,0,0
137,2,0,0,0
138,4,0,0,0
139,2,1,0,0
140,1,0,0,0
141,1,0,0,0
142,1,0,0,0
143,2,0,0,0
144,2,0,0,0
145,4,0,0,0
146,1,0,0,0
147,3,0,0,0
148,5,0,1,1
149,1,0,0,0
150,2,0,0,0
151,2,0,1,0
152,2,0,0,0
153,1,0,0,0
154,3,0,0,0
155,3,0,0,0
156,4,1,0,0
157,1,0,0,0
158,8,1,1,0
159,1,0,0,0
160,1,1,0,0
161,1,0,0,0
162,1,0,0,0
163,4,0,0,0
164,1,0,0,0
165,1,0,0,0
166,3,0,1,1
167,1,0,0,0
168,1,0,0,0
169,6,1,0,0
170,1,0,0,0
171,1,0,0,0
172,10,1,0,1
173,1,0,0,0
174,3,0,0,0
175,1,0,0,0
176,3,0,0,0
177,2,0,0,0
178,2,0,0,0
179,3,0,0,0
180,3,0,0,0
181,2,0,0,0
182,2,0,0,0
183,1,0,0,0
184,3,0,0,0
185,3,0,0,0
186,2,0,0,0
187,2,0,0,0
188,2,0,0,0
189,2,0,0,0
190,2,0,0,0
191,2,0,0,0
192,2,0,0,0
193,2,0,0,0
194,3,0,0,0
195,3,0,0,0
196,3,0,0,0
197,2,0,0,0
198,2,0,0,0
199,3,0,0,0
200,5,0,0,0
201,4,0,0,0
202,2,1,0,0
203,4,0,0,0
204,4,0,0,0
205,3,0,0,0
206,6,0,0,0
207,4,0,0,1
208,2,0,0,0
209,1,0,0,0
210,4,0,0,0
211,1,0,0,0
212,4,0,0,0
213,6,0,0,1
214,3,0,0,0
215,1,0,0,0
216,3,0,1,0
217,3,0,0,0
218,3,0,0,0
219,2,0,0,0
220,1,0,0,0
221,3,0,0,0
222,2,0,0,0
223,1,0,0,0
224,2,0,0,0
225,1,0,0,0
226,2,0,0,0
227,2,0,0,0
228,2,0,0,0
229,3,0,0,0
230,1,0,0,0
231,1,0,0,0
232,1,0,0,0
233,3,0,0,0
234,1,0,0,0
235,3,0,0,0
236,1,0,0,0
237,1,0,0,0
238,1,0,0,0
239,1,0,0,0
240,1,0,0,0
241,3,0,0,0
242,1,0,0,0
243,1,0,0,0
244,2,0,0,0
245,2,0,0,0
246,2,0,0,0
247,1,0,0,0
248,2,0,0,0
249,4,0,0,0
250,4,0,0,1
251,7,0,0,2
252,3,0,0,0
253,2,0,0,0
254,2,0,0,0
255,2,0,0,0
256,2,0,0,0
257,1,0,0,0
258,2,0,0,0
259,2,0,0,0
260,2,0,0,0
261,2,0,2,0
262,2,0,0,0
263,2,0,0,0
264,1,0,0,0
265,2,0,0,0
266,2,0,0,0
267,3,0,0,0
268,2,0,0,0
269,2,0,0,0
270,2,0,0,0
271,2,0,0,0
272,2,0,0,0
273,4,0,0,0
274,3,0,3,0
275,2,0,0,0
276,2,0,0,0
277,2,0,0,0
278,2,0,0,0
279,2,0,0,0
280,3,0,0,0
281,2,0,0,0
282,2,0,0,0
283,2,0,0,0
284,3,0,1,0
285,2,0,1,0
286,1,0,0,0
287,1,0,0,0
288,2,0,0,0
289,2,0,0,0
290,2,0,0,0
291,5,0,0,0
292,1,0,0,0
293,4,0,0,0
294,3,0,0,0
295,3,0,0,0
296,2,0,0,0
297,2,0,0,0
298,2,0,0,0
299,2,0,0,0
300,2,0,0,0
301,2,0,0,0
302,1,0,0,0
303,3,0,0,0
304,3,0,0,0
305,1,0,0,0
306,1,0,0,0
307,5,0,0,0
308,7,0,0,0
309,3,0,0,0
310,1,0,0,0
311,1,0,0,0
312,1,0,0,0
313,1,0,0,0
314,3,0,0,0
315,1,0,0,0
316,2,0,0,0
317,3,0,1,0
318,1,0,0,0
319,1,0,0,0
320,1,0,0,0
321,1,0,0,0
322,1,0,0,0
323,1,0,0,0
324,1,0,0,0
325,1,0,0,0
326,3,0,0,0
327,1,0,0,0
328,1,0,0,0
329,1,0,1,0
330,1,0,0,0
331,2,0,0,0
332,2,0,0,0
333,2,0,0,0
334,5,0,0,0
335,3,0,0,0
336,3,0,0,0
337,1,0,0,0
338,3,0,0,0
339,1,0,0,0
340,2,0,0,0
341,1,0,0,0
342,2,1,0,0
343,3,1,0,0
344,1,0,0,0
345,1,0,0,0
346,2,0,0,0
347,1,0,0,0
348,3,0,0,0
349,2,0,0,0
350,2,0,0,0
351,3,0,0,0
352,2,0,0,0
353,3,0,0,0
354,1,0,0,0
355,3,0,0,0
